gene,gene_id,immune_genetic_association,cardiac_genetic_association
ADGRG4,ENSG00000156920,0.0,0.4833219886963219
ADGRG5,ENSG00000159618,0.2161107640662884,0.4047829844554524
ADGRG6,ENSG00000112414,0.332268106598327,0.0
ADGRG7,ENSG00000144820,0.0,0.0775777254686456
ADGRL1,ENSG00000072071,0.1372233283236052,0.2672358104162676
ADGRL2,ENSG00000117114,0.6255885227156802,0.6506632510767277
ADGRL3,ENSG00000150471,0.5219191969914261,0.7919811542498377
ADGRL4,ENSG00000162618,0.0,0.3456726758436553
ADGRV1,ENSG00000164199,0.2760910788618426,0.4778850349361064
ADH1A,ENSG00000187758,0.0,0.1001082112075425
ADH1B,ENSG00000196616,0.0,0.9118616760263912
ADH1C,ENSG00000248144,0.0,0.5330183599000293
ADH4,ENSG00000198099,0.0,0.5697102673965296
ADH5,ENSG00000197894,0.7641798202564318,0.2726112561044942
ADH6,ENSG00000172955,0.0,0.1033338874233416
ADH7,ENSG00000196344,0.0,0.0
ADHFE1,ENSG00000147576,0.0,0.0801915241836942
ADI1,ENSG00000182551,0.0,0.21717820752064
ADIG,ENSG00000182035,0.0,0.0
ADIPOQ,ENSG00000181092,0.0,0.0
ADIPOR1,ENSG00000159346,0.0,0.0
ADIPOR2,ENSG00000006831,0.0454435601293827,0.405208321274965
ADIRF,ENSG00000148671,0.0,0.0
ADK,ENSG00000156110,0.0,0.6083695933646034
ADM,ENSG00000148926,0.3738832077732059,0.7562874532855203
ADM2,ENSG00000128165,0.0,0.0420245143042505
ADM5,ENSG00000224420,0.0406479327837529,0.4134463487911667
ADNP,ENSG00000101126,0.0372704462453502,0.0
ADNP2,ENSG00000101544,0.4210200844881199,0.0
ADO,ENSG00000181915,0.7964143070233417,0.9134256111160534
ADORA1,ENSG00000163485,0.1605890290628163,0.5595121377960146
ADORA2A,ENSG00000128271,0.0,0.206592041805261
ADORA2B,ENSG00000170425,0.179864629707601,0.3184414807520549
ADORA3,ENSG00000282608,0.0243195024208472,0.2164484426837028
ADPGK,ENSG00000159322,0.0,0.4222865202192542
ADPRH,ENSG00000144843,0.1215289690338742,0.0
ADPRHL1,ENSG00000153531,0.0,0.8156815805027341
ADPRM,ENSG00000170222,0.0438555167280176,0.0
ADPRS,ENSG00000116863,0.0,0.0
ADRA1A,ENSG00000120907,0.4948327385622887,0.4477715940407856
ADRA1B,ENSG00000170214,0.0690614900137335,0.3639627173358546
ADRA1D,ENSG00000171873,0.0,0.3465130857775207
ADRA2A,ENSG00000150594,0.3035077535092884,0.4702725210743285
ADRA2B,ENSG00000274286,0.0,0.1251258308583982
ADRA2C,ENSG00000184160,0.5592544562147809,0.1974286646635501
ADRB1,ENSG00000043591,0.0,0.8717561265898267
ADRB2,ENSG00000169252,0.0,0.3440316425540895
ADRB3,ENSG00000188778,0.0,0.4318422511620354
ADRM1,ENSG00000130706,0.0,0.0
ADSL,ENSG00000239900,0.1384735834951707,0.0507995383308718
ADSS1,ENSG00000185100,0.2826106885563023,0.0
ADSS2,ENSG00000035687,0.0,0.0
ADTRP,ENSG00000111863,0.0,0.6050248102202233
AEBP1,ENSG00000106624,0.0,0.0
AEBP2,ENSG00000139154,0.3870517776941179,0.6974026134540989
AEN,ENSG00000181026,0.406316987139139,0.0
AFAP1,ENSG00000196526,0.427168939977604,0.7747542997526721
AFAP1L1,ENSG00000157510,0.0385992495615613,0.0
AFAP1L2,ENSG00000169129,0.3947318240519337,0.5616258426648757
AFDN,ENSG00000130396,0.334720967259958,0.0
AFF1,ENSG00000172493,0.5700990677568244,0.4287620797257925
AFF2,ENSG00000155966,0.0,0.0
AFF3,ENSG00000144218,0.6266500941591113,0.3899285042495231
AFF4,ENSG00000072364,0.0,0.3875208446192957
AFG1L,ENSG00000135537,0.2733026584536152,0.528372008656775
AFG3L2,ENSG00000141385,0.0,0.0
AFM,ENSG00000079557,0.0429397731912329,0.0
AFMID,ENSG00000183077,0.0,0.0305411222402097
AFP,ENSG00000081051,0.0463248645418026,0.0
AFTPH,ENSG00000119844,0.0,0.0
AGA,ENSG00000038002,0.0257310182464539,0.4840395459583865
AGAP1,ENSG00000157985,0.0,0.5382744458889894
AGAP2,ENSG00000135439,0.0279938363969976,0.0
AGAP3,ENSG00000133612,0.0,0.0
AGAP4,ENSG00000188234,0.0,0.0
AGAP5,ENSG00000172650,0.0,0.3074183957960168
AGAP6,ENSG00000204149,0.0,0.0
AGAP9,ENSG00000204172,0.0,0.0
AGBL1,ENSG00000273540,0.695859263439021,0.6635130292535004
AGBL2,ENSG00000165923,0.0,0.1281919634679981
AGBL3,ENSG00000146856,0.0332311958799506,0.0863075510406099
AGBL4,ENSG00000186094,0.3481614223319582,0.6787152314955133
AGBL5,ENSG00000084693,0.0,0.0
AGER,ENSG00000204305,0.0,0.0
AGFG1,ENSG00000173744,0.0527059685698561,0.4469885086667173
AGFG2,ENSG00000106351,0.0,0.071870521903671
AGGF1,ENSG00000164252,0.0,0.4196801965062195
AGK,ENSG00000006530,0.5710744076219263,0.888881371730019
