gene,condition,n_sig,group
TFAP2B,Stim48hr,0,other
TFAP2B,Stim8hr,0,other
TFAP2C,Rest,0,other
TFAP2C,Stim48hr,0,other
TFAP2C,Stim8hr,0,other
TFAP2D,Rest,0,other
TFAP2D,Stim48hr,0,other
TFAP2D,Stim8hr,0,other
TFAP2E,Rest,0,other
TFAP2E,Stim48hr,0,other
TFAP2E,Stim8hr,0,other
TFAP4,Rest,0,other
TFAP4,Stim48hr,0,other
TFAP4,Stim8hr,0,other
TFB1M,Rest,0,other
TFB1M,Stim48hr,0,other
TFB1M,Stim8hr,0,other
TFB2M,Rest,0,other
TFB2M,Stim48hr,0,other
TFB2M,Stim8hr,0,other
TFCP2,Rest,0,other
TFCP2,Stim48hr,0,other
TFCP2,Stim8hr,0,other
TFCP2L1,Rest,0,other
TFCP2L1,Stim48hr,0,other
TFCP2L1,Stim8hr,0,other
TFDP1,Rest,0,other
TFDP1,Stim48hr,0,other
TFDP1,Stim8hr,3,other
TFDP2,Rest,0,other
TFDP2,Stim48hr,0,other
TFDP2,Stim8hr,0,other
TFDP3,Rest,0,other
TFDP3,Stim48hr,0,other
TFDP3,Stim8hr,0,other
TFE3,Rest,0,other
TFE3,Stim48hr,0,other
TFE3,Stim8hr,0,other
TFEB,Rest,0,other
TFEB,Stim48hr,0,other
TFEB,Stim8hr,0,other
TFEC,Rest,0,other
TFEC,Stim48hr,0,other
TFEC,Stim8hr,0,other
TFF3,Rest,0,other
TFF3,Stim48hr,0,other
TFF3,Stim8hr,0,other
TFG,Rest,0,other
TFG,Stim48hr,0,other
TFG,Stim8hr,6,other
TFIP11,Rest,0,other
TFIP11,Stim48hr,0,other
TFIP11,Stim8hr,0,other
TFPI,Rest,0,other
TFPI,Stim48hr,0,other
TFPI,Stim8hr,0,other
TFPT,Stim8hr,1,other
TG,Rest,0,other
TG,Stim48hr,0,other
TG,Stim8hr,0,other
TGDS,Rest,0,other
TGDS,Stim48hr,0,other
TGDS,Stim8hr,0,other
TGFA,Rest,0,other
TGFA,Stim48hr,0,other
TGFA,Stim8hr,0,other
TGFB1,Rest,0,in_trials
TGFB1,Stim48hr,0,in_trials
TGFB1,Stim8hr,0,in_trials
TGFB3,Rest,0,in_trials
TGFB3,Stim48hr,0,in_trials
TGFB3,Stim8hr,0,in_trials
TGFBI,Rest,0,other
TGFBI,Stim48hr,0,other
TGFBI,Stim8hr,0,other
TGFBR2,Rest,1,other
TGFBR2,Stim48hr,0,other
