gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_imm_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,gene_burden_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
NRDE2,0.2883528515172364,0.4523125833247872,10682,non-target,unlabeled,,,,0.741,1.17,0,0.0,0.0,,,,,,,,,,,,,,,,,,,0
CLEC7A,0.2883211733952996,0.4522613065326633,10683,non-target,unlabeled,,,,1.3,0.294,0,0.064683,0.0,,0.1947752719855967,2.265108064275793,-3.055408071621095,2.2327682439267797,0.9906176700547302,0.9510952623535404,0.8455497382198953,0.1450679318348349,,,,1.0,0.0,0.0,0.0,0.0,0.0,1
SLC2A2,0.2883000420694498,0.4522100297405394,10684,non-target,unlabeled,,,,0.873,1.39,0,0.101451,0.0,,,,,,,,,,,,,,,,,,,0
RFESD,0.2882978226327654,0.4521587529484155,10685,non-target,unlabeled,,,,0.997,1.06,0,0.522464,0.0,-15.90649669030226,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
TEX264,0.2882226937856429,0.4521074761562916,10686,non-target,unlabeled,,,,0.884,1.41,0,0.0,0.0,-28.127322668874015,0.0782790146924678,-0.9733800119934036,-1.8994793788094229,-2.0624364808309315,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ST14,0.2881731493588613,0.4520561993641678,10687,non-target,unlabeled,,0.1083366334958273,0.1083366334958273,0.539,1.52,0,0.0,0.0,,0.2345740247934644,0.0523467875665292,2.9415006893432736,2.6574514725617093,0.0403961428199113,0.444982170147733,0.4018324607329843,0.4045860273278217,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
DEFB127,0.288162119143332,0.4520049225720439,10688,non-target,unlabeled,,,,2.58,0.13,0,0.0,0.0,,,,,,,,,,,,,,,,,,,0
ZDHHC15,0.2881255183637756,0.45195364577992,10689,non-target,unlabeled,,,,0.88,1.14,0,0.0,0.0,,-0.5427254641041993,0.821307572830344,2.120770795416916,3.729876239371391,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
ZNF211,0.2880962820351124,0.4519023689877961,10690,non-target,unlabeled,,,,2.2,0.42,0,0.267128,0.0,-2.2053497221401037,0.3481406829732354,-1.2729274067214416,0.0053248793160672,0.363763559670138,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SLC27A3,0.2880781767180728,0.4518510921956722,10691,non-target,unlabeled,,0.550070108212229,0.550070108212229,1.24,-2.09,0,0.291951,0.0,3.9013297005784686,0.9299917757837882,-2.7180730908636597,0.7991353702574684,-2.0813246315406784,0.325254104769351,0.0634233316352521,0.2523560209424084,0.2618307731340989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
MIX23,0.288071697995979,0.4517998154035483,10692,non-target,unlabeled,,,,0.957,0.886,0,0.0,0.0,4.908692953929582,0.164769072491471,0.8723274211737579,-0.5924875037504681,-1.212094161685157,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
PPP1R36,0.2880677958329519,0.4517485386114244,10693,non-target,unlabeled,,,,1.12,1.09,0,0.043398,0.0,,,,,,,,,,,,,,,,,,,0
UVRAG,0.2880324053809727,0.4516972618193006,10694,non-target,unlabeled,,0.4393729518157859,0.4393729518157859,0.357,1.66,0,0.0,0.0,-15.230469063620273,,,,,0.9345843106593692,0.6994396332144677,0.1465968586387434,0.7879874520206258,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,1
TEX15,0.2880291311852055,0.4516459850271767,10695,non-target,unlabeled,,,,0.818,-0.731,0,0.073796,0.0,,-0.6548700291960347,1.4689416190692732,-2.6027790003378244,-2.2135550644045505,,,,,,,,,,,,,,0
