model,fpr,tpr
full,0.05093572009764036,0.15130674002751032
full,0.05109845402766477,0.15130674002751032
full,0.05109845402766477,0.15268225584594222
full,0.05164090046107947,0.15268225584594222
full,0.05164090046107947,0.15405777166437415
full,0.05180363439110388,0.15405777166437415
full,0.05180363439110388,0.15543328748280605
full,0.05278003797125034,0.15543328748280605
full,0.05278003797125034,0.15680880330123798
full,0.053213995117982096,0.15680880330123798
full,0.053213995117982096,0.15818431911966988
full,0.05711960943856794,0.15818431911966988
full,0.05711960943856794,0.15955983493810177
full,0.05782478980200705,0.15955983493810177
full,0.05782478980200705,0.1609353507565337
full,0.05831299159208028,0.1609353507565337
full,0.05831299159208028,0.1623108665749656
full,0.058529970165446164,0.1623108665749656
full,0.058529970165446164,0.16368638239339753
full,0.058692704095470574,0.16368638239339753
full,0.058692704095470574,0.16506189821182943
full,0.059018171955519394,0.16506189821182943
full,0.059018171955519394,0.16643741403026135
full,0.061187957689178195,0.16643741403026135
full,0.061187957689178195,0.16781292984869325
full,0.06140493626254408,0.16781292984869325
full,0.06140493626254408,0.16918844566712518
full,0.062001627339300244,0.16918844566712518
full,0.062001627339300244,0.17056396148555708
full,0.06346623270951994,0.17056396148555708
full,0.06346623270951994,0.171939477303989
full,0.0671548684567399,0.171939477303989
full,0.0671548684567399,0.1733149931224209
full,0.06775155953349607,0.1733149931224209
full,0.06775155953349607,0.1746905089408528
full,0.06796853810686194,0.1746905089408528
full,0.06796853810686194,0.17606602475928473
full,0.06818551668022783,0.17606602475928473
full,0.06818551668022783,0.17744154057771663
full,0.06883645240032547,0.17744154057771663
full,0.06883645240032547,0.17881705639614856
full,0.06954163276376457,0.17881705639614856
full,0.06954163276376457,0.18019257221458046
full,0.07106048277732574,0.18019257221458046
full,0.07106048277732574,0.1815680880330124
full,0.07176566314076485,0.1815680880330124
full,0.07176566314076485,0.1829436038514443
full,0.07192839707078925,0.1829436038514443
full,0.07192839707078925,0.1843191196698762
full,0.07198264171413073,0.1843191196698762
full,0.07198264171413073,0.1856946354883081
full,0.07295904529427719,0.1856946354883081
full,0.07295904529427719,0.18707015130674004
full,0.07301328993761866,0.18707015130674004
full,0.07301328993761866,0.18844566712517194
full,0.07323026851098453,0.18844566712517194
full,0.07323026851098453,0.19119669876203577
full,0.07382695958774071,0.19119669876203577
full,0.07382695958774071,0.1939477303988996
full,0.074206672091131,0.1939477303988996
full,0.074206672091131,0.1953232462173315
full,0.07469487388120423,0.1953232462173315
full,0.07469487388120423,0.19669876203576342
full,0.07507458638459452,0.19669876203576342
full,0.07507458638459452,0.19807427785419532
full,0.07540005424464334,0.19807427785419532
full,0.07540005424464334,0.20082530949105915
full,0.07567127746135069,0.20082530949105915
full,0.07567127746135069,0.20220082530949107
full,0.07626796853810686,0.20220082530949107
full,0.07626796853810686,0.20357634112792297
full,0.07740710604827773,0.20357634112792297
full,0.07740710604827773,0.20495185694635487
full,0.0778410631950095,0.20495185694635487
full,0.0778410631950095,0.2063273727647868
full,0.07838350962842419,0.2063273727647868
full,0.07838350962842419,0.2077028885832187
full,0.07854624355844861,0.2077028885832187
full,0.07854624355844861,0.20907840440165062
full,0.07870897748847301,0.20907840440165062
full,0.07870897748847301,0.21045392022008252
full,0.07903444534852183,0.21045392022008252
full,0.07903444534852183,0.21182943603851445
full,0.0794684024952536,0.21182943603851445
full,0.0794684024952536,0.21320495185694635
full,0.08131272036886357,0.21320495185694635
full,0.08131272036886357,0.21458046767537828
full,0.08239761323569297,0.21458046767537828
full,0.08239761323569297,0.21595598349381018
full,0.08245185787903445,0.21595598349381018
full,0.08245185787903445,0.2173314993122421
full,0.08402495253593707,0.2173314993122421
full,0.08402495253593707,0.218707015130674
full,0.08494711147274207,0.218707015130674
full,0.08494711147274207,0.2200825309491059
full,0.085055600759425,0.2200825309491059
full,0.085055600759425,0.22145804676753783
full,0.08516409004610795,0.22145804676753783
full,0.08516409004610795,0.22283356258596973
full,0.08521833468944942,0.22283356258596973
full,0.08521833468944942,0.22420907840440166
full,0.08586927040954706,0.22420907840440166
