gene,group,gwas_score
CAPN10,other,0.088046
CAPN13,other,0.053914
CAPN14,other,0.058045
CAPSL,other,0.091402
CAPZB,other,0.687197
CARD11,other,0.752298
CARD14,other,0.700857
CARD18,other,0.353274
CARD6,other,0.054675
CARD9,other,0.801758
CARHSP1,other,0.125243
CARM1,other,0.079929
CARMIL1,other,0.794964
CARMIL2,other,0.164073
CARNMT1,other,0.049966
CARS2,other,0.10494
CARTPT,other,0.215912
CASP10,in_trials,0.551228
CASP2,in_trials,0.115226
CASP3,in_trials,0.5422
CASP7,in_trials,0.469731
CASP8,in_trials,0.466196
CASP8AP2,other,0.433312
CASQ1,other,0.304638
CASQ2,other,0.060652
CASR,other,0.563847
CAST,other,0.349315
CASTOR1,other,0.167816
CASTOR2,other,0.359851
CASZ1,other,0.686918
CAT,other,0.033686
CATSPERB,other,0.196119
CAV3,other,0.069822
CAVIN1,other,0.241751
CAVIN3,other,0.039145
CBFA2T3,other,0.583041
CBL,other,0.068082
CBLB,other,0.746671
CBLN1,other,0.29517
CBLN2,other,0.495641
CBR1,other,0.161451
CBR3,other,0.09192
ZNG1A,other,0.388625
ZNG1B,other,0.214725
CBX1,other,0.124864
CBX2,other,0.031596
CBX7,other,0.573526
CBY1,other,0.173709
CBY2,other,0.230424
CCBE1,other,0.441783
CCDC102A,other,0.212963
CCDC102B,other,0.073027
CCDC112,other,0.034146
CFAP263,other,0.323873
CCDC116,other,0.219288
CCDC12,other,0.282877
CCDC122,other,0.679837
CCDC138,other,0.119772
CCDC14,other,0.108374
CCDC146,other,0.324059
CCDC150,other,0.42454
CCDC157,other,0.215326
LRTM3,other,0.05259
CCDC169,other,0.462476
CCDC170,other,0.421698
CCDC171,other,0.444179
CCDC172,other,0.077166
CCDC174,other,0.355718
CCDC175,other,0.434842
CCDC179,other,0.437254
CCDC18,other,0.39356
CCDC188,other,0.217046
CFAP119,other,0.369618
CCDC190,other,0.548387
CCDC198,other,0.227815
CCDC3,other,0.507081
CCDC30,other,0.037645
CCDC34,other,0.281814
CCDC50,other,0.032083
CCDC54,other,0.395068
CCDC59,other,0.208769
CCDC6,in_trials,0.309336
CCDC63,other,0.651419
CCDC66,other,0.227927
CCDC68,other,0.046234
CCDC71,other,0.032325
CCDC71L,other,0.566342
CCDC77,other,0.059218
CCDC80,other,0.70288
CCDC81,other,0.502504
CCDC82,other,0.03444
CCDC83,other,0.069682
CCDC85A,other,0.440292
CCDC85B,other,0.138874
CCDC88B,other,0.756706
CCDC89,other,0.069682
CCDC91,other,0.602161
CCDC92,other,0.370813
CCDC93,other,0.521787
CFAP184,other,0.076603
CCKAR,other,0.241077
CCL11,in_trials,0.495701
CCL13,other,0.032909
CCL17,other,0.215839
CCL19,other,0.044485
CCL2,other,0.649884
CCL20,other,0.8191
CCL21,other,0.846456
CCL22,other,0.649711
CCL23,other,0.25518
CCL4,other,0.091147
CCL4L2,other,0.032995
CCL7,other,0.51401
CCL8,other,0.162343
CCN1,other,0.639466
CCN3,other,0.072371
CCN4,other,0.795793
CCNA2,other,0.041973
CCNC,other,0.418889
CCND1,in_trials,0.550623
CCND2,other,0.397678
CCNE2,other,0.032055
CCNG2,other,0.206114
CCNH,other,0.387644
CCNI,other,0.048125
CCNI2,other,0.036648
CCNL1,other,0.223284
CCNL2,other,0.047831
CCNT2,other,0.037621
CCNY,other,0.478244
CCR1,in_trials,0.888124
CCR2,in_trials,0.600343
CCR3,other,0.840347
CCR4,approved,0.287966
CCR5,in_trials,0.574038
CCR6,other,0.740355
CCR7,other,0.307631
CCRL2,other,0.781597
CCS,other,0.037394
CCSER1,other,0.406221
CCSER2,other,0.303258
CCT4,other,0.051895
CCT6B,other,0.208173
CCZ1,other,0.035396
CCZ1B,other,0.22665
CD109,other,0.309858
CD151,other,0.050579
