gene,group,mis_z_score
ALKBH6,non-target,1.5
ALKBH7,non-target,-1.03
ALKBH8,non-target,0.497
ALLC,non-target,0.0989
ALMS1,non-target,-3.51
ALOX12,non-target,1.54
ALOX12B,non-target,1.65
ALOX15,non-target,0.31
ALOX15B,non-target,-0.524
ALOX5,approved,1.21
ALOX5AP,non-target,0.914
ALOXE3,non-target,-0.474
ALPG,non-target,2.95
ALPI,non-target,0.482
ALPK1,non-target,-0.156
ALPK2,non-target,1.92
ALPK3,non-target,-0.416
ALPL,non-target,1.93
ALPP,non-target,3.07
ALS2,non-target,2.62
ALS2CL,non-target,0.761
ALX1,non-target,-0.151
ALX3,non-target,0.109
ALX4,non-target,0.159
ALYREF,non-target,1.05
AMACR,non-target,-0.161
AMBN,non-target,-0.432
AMBP,non-target,-0.275
AMBRA1,non-target,3.76
AMD1,non-target,3.23
AMDHD1,non-target,-0.615
AMDHD2,non-target,0.852
AMELX,non-target,1.68
AMELY,non-target,0.63
AMER1,non-target,-0.891
AMER2,non-target,-0.289
AMER3,non-target,-0.778
AMFR,non-target,2.21
AMH,non-target,-3.3
AMHR2,non-target,1.22
AMIGO1,non-target,4.33
AMIGO2,non-target,1.22
AMIGO3,non-target,-1.28
AMMECR1,non-target,1.12
AMMECR1L,non-target,3.45
AMN,non-target,-0.633
AMN1,non-target,1.49
AMOT,non-target,1.45
AMOTL1,non-target,1.36
AMOTL2,non-target,0.625
AMPD1,non-target,0.61
AMPD2,non-target,3.82
AMPD3,non-target,1.8
AMPH,non-target,1.52
AMT,non-target,0.662
AMTN,non-target,0.048
AMY1A,non-target,3.91
AMY1B,non-target,2.76
AMY1C,non-target,3.97
AMY2A,non-target,4.89
AMY2B,non-target,-0.141
AMZ1,non-target,-5.89
AMZ2,non-target,0.751
ANAPC1,non-target,10.2
ANAPC10,non-target,0.944
ANAPC11,non-target,1.8
ANAPC13,non-target,0.478
ANAPC15,non-target,2.17
ANAPC16,non-target,0.674
ANAPC2,non-target,3.48
ANAPC4,non-target,3.18
ANAPC5,non-target,3.37
ANAPC7,non-target,2.85
ANG,non-target,0.292
ANGEL1,non-target,1.47
ANGEL2,non-target,1.36
ANGPT1,in-trial,2.04
ANGPT2,in-trial,-2.31
ANGPT4,non-target,-0.183
ANGPTL1,non-target,0.414
ANGPTL2,non-target,1.84
ANGPTL3,non-target,0.274
ANGPTL4,non-target,0.0871
ANGPTL5,non-target,-0.189
ANGPTL6,non-target,-0.471
ANGPTL7,non-target,0.235
ANGPTL8,non-target,0.785
ANHX,non-target,0.349
ANK1,non-target,3.86
ANK2,non-target,3.66
ANK3,non-target,5.06
ANKAR,non-target,1.18
ANKDD1A,non-target,0.406
ANKDD1B,non-target,0.671
ANKEF1,non-target,0.261
ANKFN1,non-target,-1.41
ANKFY1,non-target,3.17
ANKH,non-target,3.72
ANKHD1,non-target,6.27
ANKHD1-EIF4EBP3,non-target,6.11
ANKIB1,non-target,3.95
ANKK1,non-target,-0.385
ANKLE1,non-target,0.673
ANKLE2,non-target,-0.444
ANKMY1,non-target,0.204
ANKMY2,non-target,-0.765
