gene,condition,n_sig,group
GLIS1,Stim8hr,0,non-target
GLIS2,Rest,0,non-target
GLIS2,Stim48hr,0,non-target
GLIS2,Stim8hr,0,non-target
GLIS3,Rest,0,non-target
GLIS3,Stim48hr,0,non-target
GLIS3,Stim8hr,0,non-target
GLMN,Stim48hr,0,non-target
GLMN,Stim8hr,0,non-target
GLMP,Rest,0,non-target
GLMP,Stim48hr,0,non-target
GLMP,Stim8hr,0,non-target
GLO1,Rest,0,non-target
GLO1,Stim48hr,0,non-target
GLO1,Stim8hr,0,non-target
GLOD4,Rest,0,non-target
GLOD4,Stim48hr,0,non-target
GLOD4,Stim8hr,0,non-target
GLRX,Rest,0,non-target
GLRX,Stim48hr,0,non-target
GLRX,Stim8hr,0,non-target
GLRX2,Rest,0,non-target
GLRX2,Stim48hr,0,non-target
GLRX2,Stim8hr,0,non-target
GLRX3,Rest,0,non-target
GLRX3,Stim48hr,0,non-target
GLRX3,Stim8hr,0,non-target
GLRX5,Rest,0,non-target
GLRX5,Stim48hr,0,non-target
GLRX5,Stim8hr,0,non-target
GLS,Rest,0,in-trial
GLS,Stim48hr,0,in-trial
GLS,Stim8hr,3,in-trial
GLS2,Rest,0,non-target
GLS2,Stim48hr,0,non-target
GLS2,Stim8hr,1,non-target
GLT8D1,Rest,0,non-target
GLT8D1,Stim48hr,0,non-target
GLT8D1,Stim8hr,0,non-target
GLTP,Rest,0,non-target
GLTP,Stim48hr,0,non-target
GLTP,Stim8hr,0,non-target
GLUD1,Rest,0,non-target
GLUD1,Stim48hr,0,non-target
GLUD1,Stim8hr,0,non-target
GLUL,Rest,0,non-target
GLUL,Stim48hr,0,non-target
GLUL,Stim8hr,0,non-target
GLYCTK,Rest,0,non-target
GLYCTK,Stim48hr,0,non-target
GLYCTK,Stim8hr,0,non-target
GLYR1,Rest,0,non-target
GLYR1,Stim48hr,0,non-target
GLYR1,Stim8hr,0,non-target
GM2A,Rest,0,non-target
GM2A,Stim48hr,0,non-target
GM2A,Stim8hr,0,non-target
GMCL1,Rest,0,non-target
GMCL1,Stim48hr,0,non-target
GMCL1,Stim8hr,0,non-target
GMDS,Rest,0,non-target
GMDS,Stim48hr,0,non-target
GMDS,Stim8hr,0,non-target
GMEB1,Rest,0,non-target
GMEB1,Stim48hr,0,non-target
GMEB1,Stim8hr,0,non-target
GMEB2,Rest,0,non-target
GMEB2,Stim8hr,0,non-target
GMFB,Rest,0,non-target
GMFB,Stim48hr,0,non-target
GMFB,Stim8hr,0,non-target
GMFG,Rest,0,non-target
GMFG,Stim48hr,0,non-target
GMFG,Stim8hr,0,non-target
GMNN,Rest,0,non-target
GMNN,Stim48hr,0,non-target
GMNN,Stim8hr,0,non-target
GMPPA,Rest,0,non-target
GMPPA,Stim48hr,0,non-target
GMPPA,Stim8hr,0,non-target
GMPR,Rest,0,non-target
GMPR,Stim48hr,0,non-target
GMPR,Stim8hr,0,non-target
GMPR2,Rest,0,non-target
GMPR2,Stim48hr,0,non-target
GMPR2,Stim8hr,0,non-target
GNA12,Rest,0,non-target
GNA12,Stim48hr,0,non-target
GNA12,Stim8hr,0,non-target
GNA13,Rest,4,non-target
GNA13,Stim48hr,1,non-target
GNA13,Stim8hr,0,non-target
GNA15,Rest,0,non-target
GNA15,Stim48hr,0,non-target
GNA15,Stim8hr,0,non-target
GNAI1,Rest,0,non-target
GNAI1,Stim48hr,0,non-target
GNAI1,Stim8hr,0,non-target
GNAI2,Rest,0,non-target
GNAI2,Stim48hr,0,non-target
GNAI2,Stim8hr,0,non-target
GNAI3,Rest,0,non-target
GNAI3,Stim48hr,0,non-target
GNAI3,Stim8hr,0,non-target
GNAL,Rest,0,non-target
GNAL,Stim48hr,0,non-target
GNAL,Stim8hr,0,non-target
GNAO1,Rest,0,non-target
