perm,genetic,genetic+observational,genetic+perturbational,full
275,0.48415946329711707,0.48713967995660423,0.5116825731106113,0.5161253689433463
276,0.48354919510521865,0.4887006333859826,0.4817720129548971,0.4932311300435553
277,0.5159233076468993,0.5108970309034924,0.4982478661114568,0.4962643309561416
278,0.5255626924488266,0.5217408541935895,0.5187670671197689,0.5047608608943984
279,0.4981183330940187,0.4907956731919782,0.48098548158075266,0.47969846360024887
280,0.5542253705387769,0.5112261522998133,0.5468159830246174,0.5136890346048917
281,0.5259468402495253,0.5079661449608321,0.5232541999712822,0.5221705515403883
282,0.4895444566760797,0.5107109558225242,0.488234241133394,0.5041206305142073
283,0.48151573892372246,0.5063651781298362,0.47793441184447744,0.5025792211107389
284,0.47023322005775453,0.5098653935129788,0.5048737376154693,0.5208772954259002
285,0.4935021298999665,0.5015060227508417,0.5164475980791015,0.5175661545334163
286,0.514928556613858,0.5161038465833853,0.49440270265958297,0.49642079484356805
287,0.46042247004578885,0.5158708179773129,0.4461553789945596,0.498553534676686
288,0.5008565707812824,0.5091363933693901,0.49412332679206755,0.4952533703473253
289,0.4958724453166132,0.4951129245839914,0.48616273393002435,0.4885172386285678
290,0.49172534660731665,0.5046227604141739,0.48904101852295023,0.5051872397453693
291,0.5321235820609773,0.5216643373378643,0.5217077330525375,0.517279072735685
292,0.4801475454298888,0.49421621276663635,0.5031053303339237,0.5036237336268925
293,0.4997029946233986,0.5002316884442956,0.49247639560299306,0.4947826066146557
294,0.5150863128001404,0.5155446640820689,0.5191224971681105,0.5116895132340976
295,0.4879326249621085,0.5020162574386956,0.49279111026021466,0.504547264634088
296,0.5155703505161219,0.4966923371464127,0.4980636257757782,0.48944715135850925
297,0.48282335391438913,0.49441127012236946,0.4840627642432075,0.5023253721342076
298,0.5177608449400917,0.537198040811117,0.5137433909283812,0.5328908884953494
299,0.47562869541632763,0.5177157580688907,0.48844386477129503,0.5166024346272277
300,0.5187012556039502,0.5235822364747363,0.5240474959715375,0.5257403755643836
