gene,group,mis_z_score
ALOX5,approved,1.21
ALOX5AP,other,0.914
ALOXE3,other,-0.474
ALPG,other,2.95
ALPI,other,0.482
ALPK1,other,-0.156
ALPK2,other,1.92
ALPK3,other,-0.416
ALPL,other,1.93
ALPP,other,3.07
ALS2,other,2.62
ALS2CL,other,0.761
ALX1,other,-0.151
ALX3,other,0.109
ALX4,other,0.159
ALYREF,other,1.05
AMACR,other,-0.161
AMBN,other,-0.432
AMBP,other,-0.275
AMBRA1,other,3.76
AMD1,other,3.23
AMDHD1,other,-0.615
AMDHD2,other,0.852
AMELX,other,1.68
AMELY,other,0.63
AMER1,other,-0.891
AMER2,other,-0.289
AMER3,other,-0.778
AMFR,other,2.21
AMH,other,-3.3
AMHR2,other,1.22
AMIGO1,other,4.33
AMIGO2,other,1.22
AMIGO3,other,-1.28
AMMECR1,other,1.12
AMMECR1L,other,3.45
AMN,other,-0.633
AMN1,other,1.49
AMOT,other,1.45
AMOTL1,other,1.36
AMOTL2,other,0.625
AMPD1,other,0.61
AMPD2,other,3.82
AMPD3,other,1.8
AMPH,other,1.52
AMT,other,0.662
AMTN,other,0.048
AMY1A,other,3.91
AMY1B,other,2.76
AMY1C,other,3.97
AMY2A,other,4.89
AMY2B,other,-0.141
AMZ1,other,-5.89
AMZ2,other,0.751
ANAPC1,other,10.2
ANAPC10,other,0.944
ANAPC11,other,1.8
ANAPC13,other,0.478
ANAPC15,other,2.17
ANAPC16,other,0.674
ANAPC2,other,3.48
ANAPC4,other,3.18
ANAPC5,other,3.37
ANAPC7,other,2.85
ANG,other,0.292
ANGEL1,other,1.47
ANGEL2,other,1.36
ANGPT1,in_trials,2.04
ANGPT2,in_trials,-2.31
ANGPT4,other,-0.183
ANGPTL1,other,0.414
ANGPTL2,other,1.84
ANGPTL3,other,0.274
ANGPTL4,other,0.0871
ANGPTL5,other,-0.189
ANGPTL6,other,-0.471
ANGPTL7,other,0.235
ANGPTL8,other,0.785
ANHX,other,0.349
ANK1,other,3.86
ANK2,other,3.66
ANK3,other,5.06
ANKAR,other,1.18
ANKDD1A,other,0.406
ANKDD1B,other,0.671
ANKEF1,other,0.261
ANKFN1,other,-1.41
ANKFY1,other,3.17
ANKH,other,3.72
ANKHD1,other,6.27
ANKHD1-EIF4EBP3,other,6.11
ANKIB1,other,3.95
ANKK1,other,-0.385
ANKLE1,other,0.673
ANKLE2,other,-0.444
ANKMY1,other,0.204
ANKMY2,other,-0.765
ANKRA2,other,1.05
ANKRD1,other,0.587
ANKRD10,other,0.933
ANKRD11,other,-1.21
ANKRD12,other,-0.421
ANKRD13A,other,1.92
ANKRD13B,other,2.91
ANKRD13C,other,2.55
ANKRD13D,other,1.44
ANKRD16,other,-0.2
ANKRD17,other,7.57
ANKRD18A,other,2.87
ANKRD18B,other,2.28
ANKRD2,other,0.718
ANKRD20A1,other,9.42
ANKRD20A2P,other,5.98
ANKRD20A3P,other,4.02
ANKRD20A4P,other,10.9
ANKRD22,other,0.37
ANKRD23,other,-0.337
ANKRD24,other,-0.838
ANKRD26,other,0.481
ANKRD27,other,0.502
ANKRD28,other,2.43
ANKRD29,other,0.459
ANKRD30A,other,-1.23
ANKRD30B,other,1.9
ANKRD30BL,other,1.16
ANKRD31,other,1.5
ANKRD33,other,0.613
ANKRD33B,other,0.767
ANKRD34A,other,3.43
ANKRD34B,other,0.81
ANKRD34C,other,1.5
ANKRD35,other,-0.121
ANKRD36,other,7.69
ANKRD36B,other,6.46
ANKRD36C,other,5.54
ANKRD37,other,-0.513
ANKRD39,other,0.207
ANKRD40,other,1.53
ANKRD40CL,other,-0.771
ANKRD42,other,0.362
ANKRD44,other,2.77
ANKRD45,other,1.16
ANKRD46,other,2.31
ANKRD49,other,1.62
ANKRD50,other,2.22
ANKRD52,other,6.47
ANKRD53,other,0.619
ANKRD54,other,0.834
ANKRD55,other,0.549
ANKRD6,other,0.787
ANKRD60,other,-0.461
ANKRD61,other,0.137
ANKRD62,other,1.94
ANKRD63,other,0.855
ANKRD65,other,-1.44
ANKRD66,other,-0.248
ANKRD7,other,0.786
ANKRD9,other,-0.345
ANKS1A,other,3.96
ANKS1B,other,4.19
