gene,group,residual
ANO8,non-target,25.164237557530523
ANO9,non-target,27.367394107503273
ANP32A,non-target,-20.44067869413051
ANP32B,non-target,-0.955264979810309
ANP32E,non-target,43.057318656056985
ANPEP,in-trial,12.360800486146758
ANTKMT,non-target,36.11912558517098
ANTXR2,non-target,60.78959689804492
ANXA1,non-target,51.63603855186934
ANXA11,non-target,0.5339323520625024
ANXA2,non-target,-5.586495480108823
ANXA2R,non-target,51.027520190191495
ANXA3,non-target,48.43017943478182
ANXA4,non-target,37.08039284636726
ANXA5,non-target,-2.4510117438029586
ANXA6,non-target,-26.190478771328127
ANXA7,non-target,-20.12830963093336
AOAH,non-target,42.08396591072006
AOC2,non-target,-14.428678449232676
AP1AR,non-target,-7.629530953673782
AP1B1,non-target,-23.372599739888297
AP1G1,non-target,-47.565849628400336
AP1G2,non-target,26.89986887279238
AP1M1,non-target,-38.02538337285646
AP1S1,non-target,0.0026185240456679
AP1S2,non-target,-6.5442863424188475
AP1S3,non-target,-3.2562849827031974
AP2A1,non-target,-20.27940898017476
AP2A2,non-target,-14.767074400806658
AP2B1,non-target,-17.989607712476644
AP2M1,non-target,-45.40511765125208
AP2S1,non-target,-3.2733455245777883
AP3B1,non-target,-58.309202164339034
AP3D1,non-target,-42.51055073255272
AP3M1,non-target,-36.22312551294809
AP3M2,non-target,-17.170791018988044
AP3S1,non-target,-2.319882424884649
AP3S2,non-target,1.355845296038466
AP4B1,non-target,-31.35692029218309
AP4E1,non-target,-29.0146703952234
AP4M1,non-target,-16.02380926780396
AP4S1,non-target,11.813301767023932
AP5M1,non-target,-50.46995805451878
AP5S1,non-target,-29.956037529138214
AP5Z1,non-target,-9.713359795825603
APAF1,non-target,-7.803819153002441
APBA1,non-target,1.3641754122768674
APBA2,non-target,-4.530395987892134
APBB1,non-target,2.315304408939989
APBB1IP,non-target,19.759549401882552
APBB2,non-target,14.472892994094533
APBB3,non-target,-1.704986841354272
APC,non-target,-33.50566196063128
APEH,non-target,-2.102402124470345
APEX1,non-target,14.865468154078746
APEX2,non-target,-37.77358404652993
APH1A,in-trial,-19.274433667045717
APH1B,in-trial,33.93830071987489
API5,non-target,-50.46459732785734
APIP,non-target,-21.822242527224414
APLP1,non-target,17.096718394324117
APLP2,non-target,36.09291395850265
APMAP,non-target,0.5102585978984037
APOA1,non-target,-7.04326818605023
APOBEC3B,non-target,41.653574375276825
APOBEC3C,non-target,37.86007017557117
APOBEC3D,non-target,-11.516939846546473
APOBEC3F,non-target,-6.064565594068969
APOBEC3G,non-target,-11.577671813887497
APOBEC3H,non-target,118.45513929468936
APOBR,non-target,69.498017411249
APOD,non-target,4.3534400875871
APOL1,non-target,64.69397532453978
APOL2,non-target,22.998608792151284
APOL3,non-target,32.90789962374422
APOL4,non-target,20.908211444610274
APOL6,non-target,74.80950416141464
APOLD1,non-target,-3.608204266466045
APOM,non-target,-16.19750094223545
APOO,non-target,-21.022980012753234
APOOL,non-target,-29.48375714763601
APP,non-target,50.34917483102424
APPBP2,non-target,-26.448538432414903
APPL2,non-target,-12.080302711906333
APRT,non-target,11.307224198236648
APTX,non-target,-26.49757231097692
AQP11,non-target,-1.20151622312335
AQP3,non-target,35.53531406609506
AQR,non-target,-52.13402546634337
ARAF,in-trial,-44.08261442491664
ARAP1,non-target,2.102663862517853
ARAP2,non-target,23.900895531391058
ARAP3,non-target,12.155951725975308
ARCN1,non-target,-34.11677899499697
AREL1,non-target,-32.491321995223686
ARF1,non-target,-48.875329971772565
ARF3,non-target,-13.86541426881031
ARF4,non-target,5.895001480210719
ARF5,non-target,-26.12318013763091
ARF6,non-target,-40.130350598650345
ARFGAP1,non-target,-41.69909461447245
ARFGAP2,non-target,-26.764870080135612
