gene,core,pctile_genetics,pctile_full,rank_shift,cov_class,gen_dec
ACVRL1,none,0.8774997436160393,0.9051379345708133,0.027638190954773934,obs,8
ACY1,none,0.4381089119064711,0.4935904009845144,0.05548148907804329,both,4
ACY3,none,0.408368372474618,0.639216490616347,0.230848118141729,obs,4
ACYP1,none,0.1984411855194339,0.2249512870474823,0.02651010152804839,both,1
ACYP2,none,0.2726387037226951,0.49205209722079785,0.21941339349810274,both,2
ADA,none,0.9745154343144293,0.9830273818069941,0.008511947492564786,both,9
ADA2,none,0.9654907189006255,0.9890780432776125,0.023587324376986962,both,9
ADAD1,none,0.7821249102656138,0.737103886780843,-0.04502102348477077,none,7
ADAD2,none,0.056660855296892625,0.17875089734386218,0.12209004204696955,obs,0
MAPDA,none,0.4515947082350528,0.1762896113219157,-0.2753050969131371,cau,4
ADAM10,none,0.9378525279458517,0.8478104809763102,-0.09004204696954154,both,9
ADAM11,none,0.8796533688852426,0.8791918777561276,-0.00046149112911497703,none,8
ADAM12,none,0.8147369500564045,0.7434109322120808,-0.07132601784432369,both,8
ADAM15,none,0.8570403035586094,0.7392062352579223,-0.1178340683006871,both,8
ADAM17,none,0.9874884627217722,0.9166239360065634,-0.07086452671520871,both,9
ADAM18,none,0.2828427853553482,0.33729873859091375,0.05445595323556557,none,2
ADAM19,none,0.6668546815711209,0.6973130960927084,0.030458414521587485,both,6
ADAM2,none,0.14967695620961952,0.12573069428776537,-0.023946261921854145,none,1
ADAM20,none,0.20613270433801661,0.2644856937749974,0.05835298943698081,obs,2
ADAM21,none,0.6786483437596144,0.8173007896625987,0.1386524459029843,obs,6
ADAM22,none,0.7729463644754384,0.8618603220182546,0.08891395754281617,both,7
ADAM23,none,0.8836016818787816,0.8681673674494924,-0.01543431442928922,both,8
ADAM28,none,0.06599323146343965,0.10614295969644139,0.04014972823300174,both,0
ADAM29,none,0.4193928827812532,0.4656445492769972,0.046251666495744026,none,4
ADAM30,none,0.18459645164598504,0.23659111885960415,0.05199466721361912,none,1
ADAM32,none,0.3637575633268383,0.37103886780842993,0.007281304481591644,none,3
ADAM33,none,0.374987180801969,0.23125833247872013,-0.1437288483232489,none,3
ADAM7,none,0.1366526510101528,0.1326530612244898,-0.003999589785663005,none,1
ADAM8,none,0.2890985539944621,0.7249000102553584,0.43580145626089634,both,2
ADAM9,none,0.7368475028202236,0.8829350835811711,0.14608758076094752,both,7
ADAMDEC1,none,0.04414931801866475,0.10132294123679622,0.05717362321813147,none,0
ADAMTS1,none,0.647677161316788,0.8648856527535638,0.21720849143677579,both,6
ADAMTS10,none,0.9207260793764742,0.927084401599836,0.006358322223361745,both,9
ADAMTS12,none,0.41816223977028,0.3649882063378115,-0.053174033432468515,none,4
ADAMTS13,none,0.6692134140088196,0.6188596041431648,-0.05035380986565485,none,6
ADAMTS14,none,0.5784534919495437,0.7304891805968619,0.1520356886473182,obs,5
ADAMTS15,none,0.45820941441903396,0.4023177110039996,-0.055891703415034355,obs,4
ADAMTS16,none,0.3999589785663009,0.43677571531125015,0.03681673674494923,none,3
ADAMTS17,none,0.5014870269715926,0.48969336478309916,-0.011793662188493481,both,5
ADAMTS18,none,0.11337298738590913,0.13449902574094966,0.021126038355040525,none,1
