gene,subset,neglog10_adjp,group
ARHGAP12,Th1,5.540375732814527e-05,non-target
ARHGAP15,Th1,5.540375732814527e-05,non-target
ARHGAP18,Th1,5.540375732814527e-05,non-target
ARHGAP19,Th1,5.540375732814527e-05,non-target
ARHGAP20,Th1,5.540375732814527e-05,non-target
ARHGAP21,Th1,5.540375732814527e-05,non-target
ARHGAP22,Th1,5.540375732814527e-05,non-target
ARHGAP23,Th1,5.540375732814527e-05,non-target
ARHGAP25,Th1,5.540375732814527e-05,non-target
ARHGAP26,Th1,5.540375732814527e-05,non-target
ARHGAP27,Th1,5.540375732814527e-05,non-target
ARHGAP30,Th1,5.540375732814527e-05,non-target
ARHGAP31,Th1,5.540375732814527e-05,non-target
ARHGAP32,Th1,5.540375732814527e-05,non-target
ARHGAP33,Th1,5.540375732814527e-05,non-target
ARHGAP35,Th1,5.540375732814527e-05,non-target
ARHGAP39,Th1,5.540375732814527e-05,non-target
ARHGAP4,Th1,5.540375732814527e-05,non-target
ARHGAP44,Th1,0.0149992273201929,non-target
ARHGAP45,Th1,5.540375732814527e-05,non-target
ARHGAP5,Th1,5.540375732814527e-05,non-target
ARHGAP8,Th1,5.540375732814527e-05,non-target
ARHGAP9,Th1,5.540375732814527e-05,non-target
ARHGDIB,Th1,5.540375732814527e-05,non-target
ARHGEF1,Th1,5.540375732814527e-05,non-target
ARHGEF10,Th1,5.540375732814527e-05,non-target
ARHGEF11,Th1,5.540375732814527e-05,non-target
ARHGEF12,Th1,5.540375732814527e-05,non-target
ARHGEF18,Th1,5.540375732814527e-05,non-target
ARHGEF26,Th1,5.540375732814527e-05,non-target
ARHGEF3,Th1,5.540375732814527e-05,non-target
ARHGEF33,Th1,5.540375732814527e-05,non-target
ARHGEF39,Th1,5.540375732814527e-05,non-target
ARHGEF40,Th1,5.540375732814527e-05,non-target
ARHGEF6,Th1,0.2237482603676374,non-target
ARID1A,Th1,5.540375732814527e-05,non-target
ARID1B,Th1,5.540375732814527e-05,non-target
ARID2,Th1,5.540375732814527e-05,non-target
ARID4A,Th1,5.540375732814527e-05,non-target
ARID4B,Th1,5.540375732814527e-05,non-target
ARID5A,Th1,5.540375732814527e-05,non-target
ARID5B,Th1,5.540375732814527e-05,non-target
ARIH2,Th1,5.540375732814527e-05,non-target
ARL1,Th1,5.540375732814527e-05,non-target
ARL10,Th1,5.540375732814527e-05,non-target
ARL11,Th1,5.540375732814527e-05,non-target
ARL13B,Th1,5.540375732814527e-05,non-target
ARL15,Th1,5.540375732814527e-05,non-target
ARL2,Th1,5.540375732814527e-05,non-target
ARL2BP,Th1,5.540375732814527e-05,non-target
ARL3,Th1,5.540375732814527e-05,non-target
ARL4C,Th1,5.540375732814527e-05,non-target
ARL4D,Th1,5.540375732814527e-05,non-target
ARL5A,Th1,5.540375732814527e-05,non-target
ARL6,Th1,5.540375732814527e-05,non-target
ARL6IP1,Th1,5.540375732814527e-05,non-target
ARL6IP5,Th1,5.540375732814527e-05,non-target
ARL6IP6,Th1,5.540375732814527e-05,non-target
ARL8A,Th1,5.540375732814527e-05,non-target
ARL9,Th1,0.3561109577291378,non-target
ARMC10,Th1,5.540375732814527e-05,non-target
ARMC2,Th1,0.0121594278792988,non-target
ARMC6,Th1,5.540375732814527e-05,non-target
ARMC7,Th1,5.540375732814527e-05,non-target
ARMC9,Th1,5.540375732814527e-05,non-target
ARMCX1,Th1,5.540375732814527e-05,non-target
ARMCX2,Th1,5.540375732814527e-05,non-target
ARMCX4,Th1,5.540375732814527e-05,non-target
ARMCX6,Th1,5.540375732814527e-05,non-target
ARMH2,Th1,5.540375732814527e-05,non-target
ARMH3,Th1,5.540375732814527e-05,non-target
ARNT,Th1,5.540375732814527e-05,non-target
ARNT2,Th1,5.540375732814527e-05,non-target
BMAL1,Th1,0.3283713172694744,non-target
BMAL2,Th1,5.540375732814527e-05,non-target
ARPC1A,Th1,5.540375732814527e-05,non-target
ARPC3,Th1,5.540375732814527e-05,non-target
ARPC5,Th1,5.540375732814527e-05,non-target
ARPC5L,Th1,5.540375732814527e-05,non-target
ARRB1,Th1,5.540375732814527e-05,non-target
ARRB2,Th1,5.540375732814527e-05,non-target
ARRDC1,Th1,5.540375732814527e-05,non-target
ARRDC2,Th1,5.540375732814527e-05,non-target
ARRDC3,Th1,5.540375732814527e-05,non-target
ARRDC4,Th1,5.540375732814527e-05,non-target
ARRDC5,Th1,5.540375732814527e-05,non-target
ARSA,Th1,5.540375732814527e-05,non-target
ARSB,Th1,5.540375732814527e-05,non-target
ARSD,Th1,5.540375732814527e-05,non-target
ARSG,Th1,5.540375732814527e-05,non-target
ART3,Th1,5.540375732814527e-05,non-target
ARV1,Th1,5.540375732814527e-05,non-target
ASAH1,Th1,5.540375732814527e-05,non-target
ASAP1,Th1,5.540375732814527e-05,non-target
ASAP2,Th1,5.540375732814527e-05,non-target
ASB1,Th1,5.540375732814527e-05,non-target
ASB13,Th1,5.540375732814527e-05,non-target
ASB2,Th1,5.540375732814527e-05,non-target
ASB9,Th1,5.540375732814527e-05,non-target
ASCC1,Th1,5.540375732814527e-05,non-target
ASCC3,Th1,5.540375732814527e-05,non-target
ASCL1,Th1,0.457380798473424,non-target
ASCL2,Th1,5.540375732814527e-05,non-target
