gene,culture_condition,n_sig
AKR7A3,Stim48hr,0
AKR7A3,Stim8hr,0
AKT1,Rest,0
AKT1,Stim48hr,0
AKT1,Stim8hr,0
AKT1S1,Rest,0
AKT1S1,Stim48hr,0
AKT1S1,Stim8hr,0
AKT2,Rest,0
AKT2,Stim48hr,0
AKT2,Stim8hr,0
AKT3,Rest,0
AKT3,Stim48hr,0
AKT3,Stim8hr,0
AKTIP,Rest,0
AKTIP,Stim48hr,0
AKTIP,Stim8hr,0
ALAD,Rest,0
ALAD,Stim48hr,0
ALAD,Stim8hr,0
ALAS1,Rest,0
ALAS1,Stim48hr,0
ALAS1,Stim8hr,0
ALAS2,Rest,0
ALAS2,Stim48hr,0
ALAS2,Stim8hr,0
ALCAM,Rest,0
ALCAM,Stim48hr,0
ALCAM,Stim8hr,0
ALDH16A1,Rest,0
ALDH16A1,Stim48hr,0
ALDH16A1,Stim8hr,0
ALDH18A1,Rest,1
ALDH18A1,Stim48hr,0
ALDH18A1,Stim8hr,1
ALDH1A1,Rest,0
ALDH1A1,Stim48hr,0
ALDH1A1,Stim8hr,0
ALDH1B1,Rest,0
ALDH1B1,Stim48hr,0
ALDH1B1,Stim8hr,0
ALDH2,Rest,0
ALDH2,Stim48hr,0
ALDH2,Stim8hr,0
ALDH3A2,Rest,0
ALDH3A2,Stim48hr,0
ALDH3A2,Stim8hr,0
ALDH5A1,Rest,0
ALDH5A1,Stim48hr,0
ALDH5A1,Stim8hr,0
ALDH7A1,Rest,0
ALDH7A1,Stim48hr,0
ALDH7A1,Stim8hr,0
ALDH8A1,Rest,0
ALDH8A1,Stim48hr,0
ALDH8A1,Stim8hr,0
ALDH9A1,Rest,0
ALDH9A1,Stim48hr,0
ALDH9A1,Stim8hr,0
ALDOA,Rest,0
ALDOA,Stim48hr,0
ALDOA,Stim8hr,1
ALDOC,Rest,0
ALDOC,Stim48hr,0
ALDOC,Stim8hr,0
ALG1,Rest,1
ALG1,Stim48hr,0
ALG1,Stim8hr,3
ALG10,Rest,0
ALG10,Stim48hr,0
ALG10,Stim8hr,0
ALG10B,Rest,1
ALG10B,Stim48hr,0
ALG10B,Stim8hr,0
ALG12,Rest,1
