symbol	status	alias_symbol	prev_symbol
ACSS2	Approved	ACS|ACSA|AceCS|dJ1161H23.1	ACAS2
ACSS3	Approved	FLJ21963	
ACSS3-AS1	Approved		
ACTA1	Approved	NEM3	ACTA
ACTA2	Approved	ACTSA	
ACTA2-AS1	Approved	uc001kfo.1|ZXF1|UC001kfo	
ACTB	Approved		
ACTBL2	Approved	DKFZp686D0972	
ACTBP1	Approved		
ACTBP2	Approved		
ACTBP3	Approved		
ACTBP4	Approved		
ACTBP6	Approved		
ACTBP7	Approved		
ACTBP8	Approved	ACTBP2	
ACTBP9	Approved		
ACTBP10	Approved		
ACTBP11	Approved		
ACTBP12	Approved		ACTGP5
ACTBP14	Approved		
ACTBP15	Approved		
ACTBP16	Approved		
ACTC1	Approved	CMD1R	ACTC
ACTE1P	Approved		
ACTG1	Approved		ACTG|DFNA20|DFNA26
ACTG1P1	Approved		ACTGP1|ACT1GP1
ACTG1P2	Approved		ACTL2|ACTGP2
ACTG1P3	Approved		ACTGP3
ACTG1P4	Approved		ACTGP4
ACTG1P6	Approved		ACTGP6
ACTG1P7	Approved		ACTGP7
ACTG1P8	Approved		ACTGP8
ACTG1P9	Approved		ACTGP9
ACTG1P10	Approved		ACTL1|ACTGP10
ACTG1P11	Approved		
ACTG1P12	Approved		
ACTG1P13	Approved		
ACTG1P14	Approved		
ACTG1P15	Approved		
ACTG1P16	Approved		
ACTG1P17	Approved		
ACTG1P18	Approved		
ACTG1P19	Approved		
ACTG1P20	Approved		
ACTG1P21	Approved		
ACTG1P22	Approved		
ACTG1P23	Approved		
ACTG1P24	Approved		POTENP
ACTG1P25	Approved	AGPG	
ACTG2	Approved	ACTSG	ACTL3|ACTA3
ACTL6A	Approved	Actl6|BAF53A|Arp4|Baf53a|INO80K|SMARCN1	
ACTL6A-AS1	Approved		
ACTL6B	Approved	BAF53B|SMARCN2	ACTL6
ACTL7A	Approved		
ACTL7B	Approved	Tact1	
ACTL8	Approved	CT57	
ACTL9	Approved	MGC33407	
ACTL10	Approved		C20orf134
ACTL11P	Approved		ACTBP13
ACTMAP	Approved	FLJ41131	C19orf54
ACTN1	Approved		
ACTN1-DT	Approved		C14orf84|ACTN1-AS1
ACTN2	Approved		
ACTN3	Approved		
ACTN3-AS1	Approved		
